# h,k,F.real,F.imag
-14, -14, 4.837484e+00, -2.933419e-15
-14, -13, 3.533801e-16, 8.881784e-16
-14, -12, 2.861184e+00, -8.208086e-15
-14, -11, -4.559735e-15, 1.887379e-15
-14, -10, 4.657916e+00, 4.809557e-15
-14, -9, 3.467167e-15, -1.665335e-15
-14, -8, -5.773282e-01, 5.162640e-15
-14, -7, -1.854701e-15, 3.330669e-16
-14, -6, 6.839911e+00, 1.520424e-14
-14, -5, -2.652709e-15, -1.232348e-14
-14, -4, 4.415069e+00, -6.932230e-15
-14, -3, -2.707066e-15, 2.331468e-15
-14, -2, 7.000374e+00, 1.654019e-14
-14, -1, 2.584052e-15, 2.220446e-16
-14, 0, -9.351785e-01, 8.049329e-15
-14, 1, 4.494262e-15, -1.110223e-16
-14, 2, 7.000374e+00, 7.449748e-15
-14, 3, -1.636176e-15, 1.221245e-15
-14, 4, 4.415069e+00, -8.199548e-15
-14, 5, -5.697205e-15, 7.438494e-15
-14, 6, 6.839911e+00, 1.012950e-14
-14, 7, -7.817972e-15, 2.664535e-15
-14, 8, -5.773282e-01, 2.826680e-15
-14, 9, 3.766635e-15, 3.330669e-16
-14, 10, 4.657916e+00, -1.733416e-15
-14, 11, -1.017895e-15, 5.606626e-15
-14, 12, 2.861184e+00, 2.439769e-16
-14, 13, -3.869131e-15, 3.330669e-16
-14, 14, 4.837484e+00, 0.000000e+00
-13, -14, 3.533801e-16, 8.881784e-16
-13, -13, -2.553513e-15, -1.242571e-14
-13, -12, -5.186842e-15, -3.552714e-15
-13, -11, 9.769963e-15, 3.608225e-16
-13, -10, -9.323588e-16, 1.998401e-15
-13, -9, -1.332268e-15, 5.384582e-15
-13, -8, 1.028946e-14, -3.996803e-15
-13, -7, 2.775558e-15, 6.112011e-15
-13, -6, 6.116349e-16, -8.215650e-15
-13, -5, -1.776357e-15, 1.526414e-15
-13, -4, -1.742876e-14, 1.998401e-15
-13, -3, 1.221245e-14, 8.187895e-15
-13, -2, 8.344268e-15, -6.661338e-16
-13, -1, -4.551914e-15, 4.799734e-15
-13, 0, 4.826960e-15, -7.327472e-15
-13, 1, 4.218847e-15, -1.923087e-16
-13, 2, -4.404481e-15, -1.998401e-15
-13, 3, -2.220446e-16, 3.570961e-15
-13, 4, -1.142133e-14, 8.881784e-16
-13, 5, 2.220446e-15, 6.938751e-15
-13, 6, -8.122096e-15, -2.220446e-16
-13, 7, -5.551115e-16, 3.996803e-15
