# h,k,F.real,F.imag
-14, -14, 3.132251e+00, 5.222616e-15
-14, -13, 6.520581e-15, -6.661338e-16
-14, -12, -1.848647e+00, -8.721788e-15
-14, -11, -1.921852e-15, -6.106227e-16
-14, -10, 3.969681e+00, 1.027515e-14
-14, -9, 1.761013e-15, -1.443290e-15
-14, -8, -2.312260e+00, -5.775489e-15
-14, -7, 4.776148e-15, 4.440892e-16
-14, -6, 4.877781e+00, 1.711052e-14
-14, -5, 8.053169e-15, -1.443290e-15
-14, -4, -2.745129e+00, -1.099891e-14
-14, -3, -8.079165e-15, 8.881784e-16
-14, -2, 5.535354e+00, 1.702450e-14
-14, -1, -7.313100e-15, -1.332268e-15
-14, 0, -2.933023e+00, 1.421628e-15
-14, 1, 2.610879e-16, 1.332268e-15
-14, 2, 5.535354e+00, 7.160328e-15
-14, 3, -6.248669e-15, -8.881784e-16
-14, 4, -2.745129e+00, -1.124983e-14
-14, 5, -2.250678e-15, 3.330669e-16
-14, 6, 4.877781e+00, 4.207328e-15
-14, 7, -4.666552e-15, 4.440892e-16
-14, 8, -2.312260e+00, 9.058068e-16
-14, 9, -2.496251e-15, 5.551115e-16
-14, 10, 3.969681e+00, 1.712525e-15
-14, 11, -4.456086e-15, 1.387779e-15
-14, 12, -1.848647e+00, -5.558797e-16
-14, 13, -2.336064e-16, -1.110223e-16
-14, 14, 3.132251e+00, 0.000000e+00
-13, -14, 6.520581e-15, -6.661338e-16
-13, -13, 0.000000e+00, -9.605853e-15
-13, -12, -2.295607e-15, 8.881784e-16
-13, -11, 0.000000e+00, -3.944305e-31
-13, -10, 2.607191e-15, -8.881784e-16
-13, -9, 0.000000e+00, 2.915923e-15
-13, -8, 3.624883e-15, 1.332268e-15
-13, -7, 0.000000e+00, 8.042561e-15
-13, -6, 3.281124e-15, -8.881784e-16
-13, -5, 0.000000e+00, 5.046088e-15
-13, -4, -1.157136e-14, 1.554312e-15
-13, -3, 0.000000e+00, 1.303248e-15
-13, -2, 3.791308e-15, -1.332268e-15
-13, -1, 0.000000e+00, 5.650423e-15
-13, 0, -1.249837e-14, 1.554312e-15
-13, 1, 0.000000e+00, -2.937074e-15
-13, 2, -2.554053e-15, -1.332268e-15
-13, 3, 0.000000e+00, -2.825540e-15
-13, 4, -7.576055e-15, 2.220446e-16
-13, 5, 0.000000e+00, 5.046088e-15
-13, 6, -3.798669e-16, 0.000000e+00
-13, 7, 0.000000e+00, 1.093209e-15
-13, 8, -7.869538e-15, 0.000000e+00
-13, 9, 0.000000e+00, -2.122348e-15
-13, 10, -3.018434e-16, 0.000000e+00
-13, 11, 0.000000e+00, 1.712639e-15
-13, 12, -4.856984e-15, 0.000000e+00
-13, 13, 0.000000e+00, 0.000000e+00
-13, 14, -2.336064e-16, 1.110223e-16
-12, -14, -1.848647e+00, -8.721788e-15
-12, -13, -2.295607e-15, 8.881784e-16
-12, -12, 4.062425e+00, 1.051484e-14
-12, -11, 2.234092e-15, -2.553513e-15
-12, -10, -2.438776e+00, -6.090996e-15
-12, -9, -2.098918e-15, 4.440892e-16
-12, -8, 5.353039e+00, 2.600571e-14
-12, -7, 1.859812e-15, -1.776357e-15
-12, -6, -3.151461e+00, -1.263821e-14
-12, -5, -1.487543e-15, 8.881784e-16
-12, -4, 6.701172e+00, 1.155237e-14
-12, -3, -8.421397e-15, -1.776357e-15
-12, -2, -3.713782e+00, -7.846087e-15
-12, -1, -1.016921e-14, 1.443290e-15
-12, 0, 7.333645e+00, 9.478882e-15
-12, 1, -7.711625e-15, -1.443290e-15
-12, 2, -3.713782e+00, -5.604348e-15
-12, 3, -3.725038e-15, 3.330669e-16
-12, 4, 6.701172e+00, 5.776186e-15
-12, 5, -5.802921e-15, 4.440892e-16
-12, 6, -3.151461e+00, -6.939183e-15
-12, 7, -1.993999e-15, 5.551115e-16
-12, 8, 5.353039e+00, 2.308300e-15
-12, 9, -5.481688e-15, 6.661338e-16
