code,group,loss
1000,F m -3 m,0.00041165939031858007
100018,P -4 3 n,0.0009986434754660999
10009,F -4 3 m,0.0032613365352267805
100098,I 2 3,0.004564579841587339
100099,I 2 3,0.00170591576857454
1001,F m -3 m,0.000831967046929
100102,P -4 3 n,0.03602990943236826
100149,I -4 3 d,0.00473578915711538
100174,I -4 3 d,0.0005381818666497999
100179,I -4 3 m,0.0038148122491949397
100195,F d -3 m Z,0.0018586359137711002
100202,P a -3,0.0016783651420126601
100219,P 21 3,0.0016503690362480402
100258,I a -3 d,0.009047095392997941
100267,F -4 3 m,0.00548491528198276
100268,F -4 3 m,0.005339828731737521
100290,I -4 3 m,0.0013994499186009202
100309,F -4 3 m,0.00366149775627162
10035,F d -3 m S,0.00458306018868936
100393,F d -3 m Z,0.0011847064155012202
100401,P a -3,0.00132807712928918
100420,P 21 3,0.00627853451046472
10046,P 41 3 2,0.0217448667579778
100510,P a -3,0.005594644712970979
100517,P n -3 Z,0.00347615268917
100518,F d -3 m Z,0.00795839378183842
10052,F m -3 m,0.028029877143106497
100522,I -4 3 d,0.0028301398876032597
100529,F d -3 m Z,0.0015680025035443202
100530,F d -3 m Z,0.002306247897443276
100531,F d -3 m Z,0.00107001832978898
100532,F d -3 m Z,0.0006988947309928609
100544,F d -3 m Z,0.00035616372008356087
100545,F d -3 m Z,0.0002932212445332901
100547,F d -3 m Z,0.00014496846915846486
100548,F d -3 m Z,0.0001575631593016597
100549,F d -3 m Z,0.00022602784986541037
100550,F d -3 m Z,0.00016869863754322611
100551,F d -3 m Z,0.00015483659379803756
100552,F d -3 m Z,0.0002092715992646626
100569,I 2 3,0.0066059465184666
100570,I 2 3,0.07711839478055386
100614,I a -3 d,0.0057067695567809395
100615,I a -3 d,0.024628233995038076
100616,I a -3 d,0.0026648199835998198
100617,I a -3 d,0.05125922534301729
100618,I a -3 d,0.0016275748810552601
100619,I a -3 d,0.00153398858011332
100620,I a -3 d,0.00105163691548916
100621,I a -3 d,0.07414576218431548
100622,I a -3 d,0.0045531501931348395
100728,F d -3 Z,0.02309497699202176
100731,I a -3 d,0.03291827455936562
100787,P m -3 m,0.00703965572135722
100789,P m -3 m,0.0073408154315649
100823,P n -3 Z,0.01298069552575962
100839,F d -3 m Z,0.00203576261233652
100840,F d -3 m Z,0.0020584461955737597
100851,I m -3,0.003030153854587
100852,I m -3,0.005459439052888459
100856,P a -3,0.0017417328221116398
100857,P a -3,0.0016281256758217798
100860,F d -3 m Z,0.00227602833795896
100861,F d -3 m Z,0.0008551588106136562
100862,F d -3 m Z,0.0007113589499831383
100863,F d -3 m Z,0.00097971145412818
100864,F d -3 m Z,0.00201333734320928
100878,P a -3,0.00242626727851066
10112,P m -3 m,0.0002142278135211854
10113,P m -3 m,0.00031431007605242
10122,P m -3 m,0.00107524430958036
10160,P m -3 m,0.00023441986705829997
10172,P n -3 Z,0.007458693771626519
10179,F m -3 m,0.00083201773356392
10180,F m -3 m,0.00082745574869032
10181,F m -3 m,0.0009141501691055599
10197,P n -3 n Z,0.00117102571727212
102010,I m -3 m,0.007575108018850999
102032,P m -3,0.00573047194138058
102038,F d -3 m Z,0.00300339769409626
102039,P -4 3 m,0.007010256722173961
102045,I m -3 m,0.01868998514693888
102056,P -4 3 m,0.00437262336000584
102072,P -4 3 m,0.0028768861060048
102089,I 2 3,0.01725344143478456
102148,I m -3 m,0.01668618909343788
102273,P m -3 n,0.0030491076524052597
1023,I -4 3 m,0.0035615921460495797
102351,P m -3 n,0.0018162855407174601
102352,P m -3 n,0.00313392028456594
102353,P m -3 n,0.006305988269235401
102354,P m -3 n,0.007597476781766919
102356,P m -3 n,0.00905853029784222
102358,P m -3 n,0.0033407778859094
102359,P m -3 n,0.00094030146908632
102381,I m -3 m,0.014908747912461839
102382,I m -3 m,0.01675699907337352
102383,I m -3 m,0.014148260472234539
10251,F 2 3,0.00178261722504558
102513,F m -3 c,0.00885170611213244
10255,F d -3 c Z,0.00138979805693716
102606,F d -3 m S,0.14814733309454345
102712,I 21 3,0.016365283372080323
102758,I -4 3 m,0.012606256270124561
10288,P m -3 m,0.00034723423683196005
102918,I m -3,0.14796400460459536
102990,F m -3 c,0.01496833981371358
103090,F m -3 c,0.0028165765195476604
103158,I -4 3 m,0.0012821709949297798
103347,F d -3 m Z,0.00704832951869482
10335,P m -3 n,0.00548420491818052
103395,I -4 3 m,0.00512172845930646
103434,I -4 3 d,0.01047082740111982
103446,F m -3 c,0.043014641303825936
10362,F d -3 m Z,0.0018033595101643002
103620,P m -3,0.006960553220215661
10363,F d -3 m Z,0.00268596100358032
10364,F d -3 m S,0.007199732374567359
103708,I -4 3 m,0.004951484818038821
103711,F -4 3 m,0.015705341883229317
103737,I 2 3,0.010907234634816122
103863,I 2 3,0.014939302942377681
103910,I m -3 m,0.00134918041588564
103939,I 21 3,0.0014438714977411601
103975,P 21 3,0.0012869713947159201
104070,F -4 3 m,0.0053615971396217404
104100,I m -3,0.00452713386978552
104129,P m -3 n,0.01052879151047686
104196,F -4 3 m,0.00358679692005478
10420,I -4 3 d,0.00183165823391238
10438,F m -3 m,0.00219084550563482
104380,F d -3 m S,0.00212056792309442
10439,F m -3 m,0.0024903817416978397
104393,P 41 3 2,0.0024803093686922803
10440,I -4 3 d,0.00772563455912372
10441,I -4 3 d,0.01591076373870594
104616,P 21 3,0.035433713896097445
104654,I -4 3 m,0.014466963577710702
104715,P m -3 n,0.0048395514570718804
104766,F 2 3,0.0577391830966447
10480,P 43 3 2,0.007549261965049479
104861,F -4 3 m,0.0080672921397416
104862,P 41 3 2,0.006375408496731761
104888,I -4 3 m,0.00258739051686842
104898,P m -3,0.00181188819354326
104935,F d -3 m S,0.14186116930687756
1050,I m -3 m,0.01683517081771452
1051,I m -3 m,0.018301706187223318
10510,F -4 3 m,0.029565852451580422
105162,F d -3 m Z,0.0037663894295463206
105167,I -4 3 d,0.01773754666924968
105170,F d -3 m S,0.00517652465397914
105172,F m -3 c,0.0115565796133099
105173,F m -3 c,0.0009880785034601602
105208,I -4 3 m,0.0037830551951171998
105374,I -4 3 d,0.0008675376132376001
105431,F -4 3 m,0.00944609100916716
105432,F -4 3 m,0.0026764606386365398
105475,I -4 3 m,0.0017255277417339
105510,F d -3 m S,0.00714990534740228
105544,I m -3,0.00075657199154162
105545,I m -3,0.0009930272085855799
105565,F -4 3 m,0.00667266327103736
105756,I -4 3 m,0.00184843400825398
105891,I -4 3 m,0.0024744178921567
105922,P m -3,0.00872741084408618
105923,I m -3,0.011586817006981139
105936,P m -3 n,0.00461853726631574
106043,I m -3,0.017106884033485682
106238,F d -3 m S,0.015736457469783062
106251,F -4 3 m,0.008457504700715882
106322,I -4 3 d,0.0021983694672722
106361,F d -3 m S,0.03638417015090338
106380,F m -3 c,0.0017433673722245
106400,F -4 3 m,0.00669831765426748
106482,F d -3 m S,0.00522005715199658
106534,I m -3,0.01587677403222362
106556,P -4 3 m,0.0016020462757711802
106567,P -4 3 m,0.00238753048707216
106646,F d -3 m S,0.01111358386798372
106670,F -4 3 m,0.1945513110191992
106701,F d -3 m S,0.010175532510032021
106706,F d -3 m Z,0.09679101093179403
106707,F d -3 m Z,0.1585652535983768
10672,F d -3 m Z,0.10355015480074262
106748,P m -3 m,0.01948851009076976
106781,F -4 3 m,0.00765063654904336
106808,F -4 3 m,0.00553897745908964
106950,F d -3 m S,0.0043411268727772
106997,F d -3 m S,0.005748301810000861
106998,I m -3 m,0.11059618802714015
107145,I m -3 m,0.2892902517586424
107215,F -4 3 m,0.01867823279357706
107216,F -4 3 m,0.056147744782655204
107394,I -4 3 d,0.01719760297271524
107469,I a -3 d,0.03308352068615452
107528,F m -3 c,0.00183319798124518
107533,F m -3 c,0.00180788620212174
