group,loss0,loss1,loss2,loss3,loss4
F -4 3 c,0.0071261750244178855,0.011372532413937349,0.005260955350198403,0.007042713944752248,0.008499576689298202
F -4 3 m,0.007935905414686018,0.0065385536322309255,0.007777493693106623,0.006987119200157287,0.009029013067923003
F 2 3,0.009649284131065906,0.01322801281827434,0.0076318736004856004,0.00845002835166302,0.012564446929966656
F 4 3 2,0.005663058153715,0.0055695164382386746,0.01168660962824535,0.010184956000246825,0.004299999033199338
F 41 3 2,0.02224735481470405,0.010058120518300533,0.0034096544210258837,0.026892355792142816,0.009612479087069801
F d -3 S,0.0031640409112480127,0.017218125521884373,0.00886979973898285,0.013465579691780225,0.012950237645226114
F d -3 Z,0.006925467837143815,0.00869520075995732,0.007275600701882041,0.003695042248755351,0.009452284131273326
F d -3 c Z,0.014219739586489602,0.009580008053379985,0.014163408438356936,0.009715331370119937,0.013661627389449234
F d -3 m S,0.008252065413328295,0.007934790513643672,0.008123336972951393,0.00831944247432899,0.006875468146876486
F d -3 m Z,0.010084655350437939,0.009000985439608089,0.011029697938885627,0.009265423305651199,0.010255042554229593
F m -3,0.014596633568919843,0.011465370279683158,0.013776397243278504,0.014756720867285918,0.015721700460355748
F m -3 c,0.007142981970117558,0.006637791918932885,0.006237692036697728,0.008006362507018073,0.01210611817574204
F m -3 m,0.03896747062264949,0.032904079405689415,0.029303965123872837,0.0380856417003992,0.03785613306858746
I -4 3 d,0.01184333540016753,0.011626691789855259,0.011812923645167957,0.011240301366183482,0.009558282406514261
I -4 3 m,0.006493957021291754,0.006536302524705032,0.007349946180172263,0.008142250269636943,0.008494865942800713
I 2 3,0.007178583467777739,0.005587239417821345,0.0050325202472833635,0.007052960164352651,0.010815378301049488
I 21 3,0.0045341536595264395,0.005480424407476502,0.007950415223293802,0.008415831500369014,0.008841243580870694
I 4 3 2,0.007426990908444567,0.008320939199566701,0.010041897822752667,0.008244566330157233,0.0050935922456707
I 41 3 2,0.009474158229468031,0.011306967716620861,0.009653167697072746,0.023734974228661748,0.015158289974230951
I a -3,0.0051815616972601,0.003520658198708582,0.004477716397145734,0.004692673026273169,0.004849746375496671
I a -3 d,0.052329044091494685,0.036733890691187494,0.04896420558246025,0.04782141004063181,0.046835899461198455
I m -3,0.004812572576135146,0.0031479302442374347,0.004481341238788894,0.004555864877025656,0.005351006346767884
I m -3 m,0.031136098735549695,0.03325601578006869,0.03693736603869774,0.02964456628439963,0.03645214459826618
P -4 3 m,0.010427064517484395,0.0072489666848950425,0.011385660736893418,0.011286285936198353,0.007755557781700077
P -4 3 n,0.003115422572598228,0.004057820539216395,0.0038577159373495303,0.0039864271067927785,0.0036535825487312005
P 2 3,0.004143822688389116,0.005834397414756273,0.002033343245386396,0.001235583857470628,0.001130653512170752
P 21 3,0.009216633712712662,0.008767345899460393,0.011401795764554048,0.01044219834446815,0.01250989759609228
P 4 3 2,0.0019351490787797,0.0006964521983732,0.0028780706714364,0.002244668892373,0.0047943474264707
P 41 3 2,0.013915938946531623,0.012967845917681327,0.015223697049703276,0.016777232721523455,0.012716360530484475
P 42 3 2,0.0034018884150627373,0.018788790880648276,0.018415089350212837,0.01862790540015386,0.012018645571452324
P 43 3 2,0.00878923301207867,0.011232189442905976,0.008165796491297403,0.01161226013176737,0.010892977149033043
P a -3,0.01242382648005034,0.007648135668225592,0.00979034648306924,0.010386925806532771,0.01049606484449962
P m -3,0.004550610116608773,0.005709695159724294,0.006757666123275333,0.0067979822155146245,0.00596700821597504
P m -3 m,0.005601733274644493,0.005353864787286172,0.006700737806445106,0.007408948171216911,0.006061013179346739
P m -3 n,0.00635035143573793,0.006599021889195843,0.005756458840214712,0.005746782647300869,0.007253100007764612
P n -3 S,0.0046681268589270925,0.007461627019010612,0.009630552244585002,0.005555687521581704,0.013270460769183992
P n -3 Z,0.01316750500142273,0.013178716287755802,0.014292976762584222,0.01643241311832912,0.008387964506316797
P n -3 m S,0.015164076846991463,0.007617382424528173,0.009824822353299628,0.005586990456531439,0.007558296001574191
P n -3 m Z,0.006469707324821168,0.00561632344037483,0.007765246942067212,0.011095285411703399,0.005779321449525431
P n -3 n Z,0.0060100518636912095,0.00243467220202264,0.003033054397272,0.010099290659316435,0.005263389015417759
