,ICSD_code,chemical_formula_sum,cell_length,space_group,date,latest
0,101191,O35 Sn10.32 Ti8.39 Zn6.14,14.8793,F -4 3 m,2021-02-01,True
1,101256,H6.44 Ca3 Fe1.96 Ir1.43 O12,12.5391,I -4 3 d,2021-02-01,True
2,101275,I14 Sr1 W6,14.51923,P n -3 Z,2021-02-01,True
3,101277,I14 Mg1 W6,14.19333,P n -3 Z,2021-02-01,True
4,101279,Ca1 I14 W6,14.38351,P n -3 Z,2021-02-01,True
5,101283,Ba0.85 I14 W6,14.6277,P n -3 Z,2021-02-01,True
6,101655,O2 Pt1,4.91,P a -3,2021-02-01,True
7,101696,H3 Nd1,4.78034,F m -3 m,2021-02-01,True
8,101764,Cs8 In27 Sb19,24.4593,I a -3,2021-02-01,True
9,101765,Cs8 Ga27 Sb19,22.9497,I a -3,2021-02-01,True
10,101766,Ga27 Rb8 Sb19,22.8962,I a -3,2021-02-01,True
11,101819,Ag0.29 Bi0.29 Ge0.43 Se0.58 Te0.43,5.90898,F m -3 m,2021-02-01,True
12,101866,I1.01 Li5.74 S4.99 Sb0.92 Si0.08,10.4104,F -4 3 m,2021-02-01,True
13,101867,I0.93 Li6.16 S5.07 Sb0.38 Si0.62,10.33,F -4 3 m,2021-02-01,True
14,101868,I1.03 Li6.47 S4.97 Sb0.8 Sn0.2,10.4419,F -4 3 m,2021-02-01,True
15,101869,I0.99 Li6.07 S5.01 Sb0.66 Si0.34,10.3782,F -4 3 m,2021-02-01,True
16,101870,Ge0.43 I1 Li6.22 S5 Sb0.57,10.406,F -4 3 m,2021-02-01,True
17,101871,Ge0.22 I0.99 Li5.96 S5.01 Sb0.78,10.4128,F -4 3 m,2021-02-01,True
18,101872,I0.96 Li6.28 S5.04 Sb0.55 Si0.45,10.354,F -4 3 m,2021-02-01,True
19,103553,Ce0.46 O1.927 U0.54,10.9863,I a -3,2021-02-01,True
20,103738,Ce0.44 O1.91 U0.55,10.9718,I a -3,2021-02-01,True
21,103745,Ce0.46 O1.94 U0.54,10.9838,I a -3,2021-02-01,True
22,103758,Ce0.43 O1.98 U0.55,5.4464,F m -3 m,2021-02-01,True
23,103771,Ce0.46 O2 U0.54,5.4464,F m -3 m,2021-02-01,True
24,104312,Bi12 Mn0.5 O20 Ti0.5,10.204,I 2 3,2021-02-01,True
25,104547,Ni2 Zn11,8.9128,I -4 3 m,2021-02-01,False
26,104615,In0.084 Ni2 Zn10.656,8.9115,I -4 3 m,2021-02-01,True
27,104625,In0.133 Ni2 Zn10.462,8.9126,I -4 3 m,2021-02-01,True
28,104645,Ga0.112 Ni2 Zn10.536,8.9071,I -4 3 m,2021-02-01,True
29,104648,Ga0.135 Ni2 Zn10.475,8.901,I -4 3 m,2021-02-01,True
30,104657,Ga0.1 Ni2 Zn10.587,8.8984,I -4 3 m,2021-02-01,True
31,104669,In0.069 Ni2.832 Zn9.884,8.9212,I -4 3 m,2021-02-01,True
32,104708,In0.084 Ni2 Zn10.656,8.9305,I -4 3 m,2021-02-01,False
33,104710,In0.125 Ni2 Zn10.5,8.9489,I -4 3 m,2021-02-01,True
34,105140,Ga0.144 Ni2 Zn10.396,8.8972,I -4 3 m,2021-02-01,True
35,105141,In0.13 Ni2 Zn10.463,8.9106,I -4 3 m,2021-02-01,True
36,105150,In0.13 Ni2 Zn10.442,8.9304,I -4 3 m,2021-02-01,True
37,105484,Co1 F0.5 O2.5 Sr1,3.8549,P m -3 m,2021-02-01,True
38,105728,O8 Si1 Sn6,10.40709,F -4 3 m,2021-08-01,True
39,105805,Ba1 F1 O2 Sc1,4.17451,P m -3 m,2021-02-01,False
40,105820,Ba1 F1 Fe1 O2,4.05482,P m -3 m,2021-02-01,True
41,105827,Ba1 F1 Fe1 O2,4.05487,P m -3 m,2021-02-01,False
42,105828,Ba1 F1 In1 O2,4.2351,P m -3 m,2021-02-01,True
43,105829,Ba1 F1 In1 O2,4.2114,P m -3 m,2021-02-01,False
44,105830,Ba1 F1 In1 O2,4.2221,P m -3 m,2021-02-01,False
45,105976,Dy1 Hf1 K2 O12 P3,10.2733,P 21 3,2021-02-01,True
46,105982,Co0.67 Cr0.67 Li2 O8 Ti2.67,8.3489,F d -3 m S,2021-02-01,True
47,105989,Br2 Pb3 Se2,9.32,I -4 3 d,2021-02-01,True
48,10623,Ba1 Cu5.79 Se0.61 Te6.39,6.9858,P m -3,2020-08-01,True
49,10624,Ba1 Cu5.74 Se0.43 Te6.57,6.9966,P m -3,2020-08-01,True
50,10625,Ba1 Cu5.74 Se0.69 Te6.31,6.9819,P m -3,2020-08-01,True
51,10672,C1 I3 K2 N1 O1 Pb1,16.2947,F d -3 m Z,2020-08-01,True
52,106924,Al1 Np3,4.269,P m -3 m,2005-10-01,True
53,106925,In1 Np3,4.615,P m -3 m,2005-10-01,True
54,106935,Pd0.9 Rh0.1,3.8812,F m -3 m,2005-10-01,True
55,106936,Ni0.1 Pd0.9,3.866,F m -3 m,2005-10-01,True
56,106937,Co0.05 Pd0.9 Rh0.05,3.876,F m -3 m,2005-10-01,True
57,106938,Cr2 Cu0.5 Ni0.5 Se4,10.3238,F d -3 m Z,2005-10-01,True
58,106939,Cr1.1 Cu1 Ni0.9 Se4,10.3607,F d -3 m Z,2005-10-01,True
59,10697,Ca12.8 Li3.2 N28.8 O5.2 Si17,14.73913,F -4 3 m,2020-08-01,True
60,107006,Cu19 Pb1 Y4,7.0993,F -4 3 m,2005-10-01,True
61,107007,Cu16.44 Pb3.56 Y4,7.1448,F -4 3 m,2005-10-01,True
62,107033,Mg1 Ni4 Y1,7.01,F -4 3 m,2005-10-01,False
63,107036,Lu2.666 S3.999,7.996,I -4 3 d,2005-10-01,True
64,107081,Bi0.8 Fe1 O2.9 Sr0.2,3.9524,P m -3 m,2005-10-01,True
65,107082,Bi0.5 Fe1 O2.75 Sr0.5,3.9466,P m -3 m,2005-10-01,True
66,107083,Ga1 Li2 Rh1,6.032,F -4 3 m,2005-10-01,True
67,107084,Ga1 Li2 Pd1,6.094,F -4 3 m,2005-10-01,True
68,107085,Ga1 Ir1 Li2,6.039,F -4 3 m,2005-10-01,True
69,107086,Ga1 Li2 Pt1,6.069,F -4 3 m,2005-10-01,True
70,107087,In1 Li2 Rh1,6.36,F -4 3 m,2005-10-01,True
71,107088,In1 Li2 Pd1,6.394,F -4 3 m,2005-10-01,True
72,107089,In1 Ir1 Li2,6.481,F -4 3 m,2005-10-01,True
73,107090,In1 Li2 Pt1,6.4,F -4 3 m,2005-10-01,True
74,107091,Ga2 Li1 Rh1,6.007,F m -3 m,2005-10-01,False
75,107092,Ga2 Li1 Pd1,6.055,F m -3 m,2005-10-01,True
76,107093,Ga2 Ir1 Li1,6.004,F m -3 m,2005-10-01,False
77,107094,Ga2 Li1 Pt1,6.025,F m -3 m,2005-10-01,True
78,107097,Fe16 Nb6 Si7,11.334,F m -3 m,2005-10-01,True
